"house_price","number_of_rooms","living_area","secondary_area","plot_area","year_built","operating_cost","sale_date","neighborhood","latitude","longitude","secondary_area_missing","month","year"
7045000,3,75,0,59,2021,18700,"2024-12-03","City",55.6051324,12.9974189,1,12,2024
6450000,4,105,65,840,1962,30199,"2024-12-03","Sibbarp",55.7996202,12.9710498464661,0,12,2024
4850000,4,112,0,425,2011,31458,"2024-12-02","Tygelsjö",55.5174699,12.98566,1,12,2024
3520000,5,115,115,628,1966,30643,"2024-11-28","Kyrkby",55.5440813,13.0965045,0,11,2024
8050000,7,148,118,819,1944,41050,"2024-11-28","Djupadal",55.57890885,12.9548780281177,0,11,2024
5700000,6,158,33,671,1986,38473,"2024-11-25","Husie",55.58749635,13.0915006818925,0,11,2024
5450000,4,134,164,813,1967,41292,"2024-11-24","Käglinge",63.8120037,20.2607898928514,0,11,2024
2800000,6,131,0,316,1979,31950,"2024-11-23","Kyrkby",55.5493782,13.09776455,1,11,2024
6800000,6,154,94,474,2009,30207,"2024-11-22","Husie",55.94507015,12.8037160578736,0,11,2024
4470000,6,153,0,670,1975,34855,"2024-11-20","Husie",55.5842664,13.0820291070982,1,11,2024
7250000,5,140,66,1097,1997,40208,"2024-11-18","Klagshamn",56.6187273,12.9382892,0,11,2024
16400000,8,254,84,1005,1980,81580,"2024-11-18","Fridhem",55.5984827,12.9672867850016,0,11,2024
4050000,5,90,68,852,1930,32819,"2024-11-15","Valdemarsro",55.6091479,13.0749712829936,0,11,2024
10000000,6,165,73,1050,1921,65565,"2024-11-12","Mellanheden",55.5870751,12.9681859798813,0,11,2024
7250000,5,125,64,722,1923,49514,"2024-11-12","Rostorp",57.7305804,11.9168345,0,11,2024
4900000,5,112,69,620,1959,35146,"2024-11-08","Eriksfält",55.5749568,13.0083299529854,0,11,2024
6600000,7,193,41,750,1909,38884,"2024-11-07","Klagshamn",55.5301333,12.9354085439948,0,11,2024
5145000,6,168,80,1419,1947,45631,"2024-11-06","Lockarp",55.5438641,12.9929653,0,11,2024
9100000,6,150,71,825,1955,57540,"2024-11-06","Limhamn",59.333954,18.0961669,0,11,2024
5900000,6,110,51,585,1926,40266,"2024-11-05","Kulladal",55.57477415,13.003804490482,0,11,2024
5510000,4,106,0,798,1921,53241,"2024-11-05","Kulladal",55.57025285,12.99335885,1,11,2024
7750000,5,149,8,990,2009,19442,"2024-11-04","Tygelsjö",55.52312595,12.99953045,0,11,2024
6350000,5,162,32,500,1928,40450,"2024-11-04","Sibbarp",58.1460104,11.8312119,0,11,2024
3500000,5,127,21,460,1976,48924,"2024-11-04","Kyrkby",55.54883675,13.0919120695062,0,11,2024
3850000,6,120,0,345,1988,34280,"2024-10-31","Gullvik",55.5725397,13.0268048229354,1,10,2024
6600000,6,145,51,643,1935,26100,"2024-10-31","Bunkeflostrand",55.5530024,12.916836,0,10,2024
12800000,8,180,107,832,1946,78786,"2024-10-31","Sjösida",55.589434,12.9574332060209,0,10,2024
4350000,6,109,109,840,1964,39050,"2024-10-25","Käglinge",55.533464,13.0774130818485,0,10,2024
7550000,6,165,0,656,2004,45094,"2024-10-24","Riseberga",55.59670475,13.0894460840572,1,10,2024
5550000,6,175,28,718,1974,52663,"2024-10-23","Tygelsjö",55.5139123,13.0043263,0,10,2024
4150000,5,134,83,572,1974,39543,"2024-10-23","Kastanjegården",55.5554036,13.02325205,0,10,2024
12900000,6,170,90,807,1963,37980,"2024-10-22","Sjösida",55.58959915,12.9568316350956,0,10,2024
8995000,6,240,23,1557,2005,46000,"2024-10-20","Skumparp",55.5372407,12.9632802,0,10,2024
6500000,4,75,12,208,1909,36068,"2024-10-16","Limhamn",55.583826,12.9258858,0,10,2024
5450000,6,182,0,662,1975,46794,"2024-10-15","Videdal",55.5944512,13.0583535734754,1,10,2024
3100000,4,85,56,638,1932,44549,"2024-10-15","Gullvik",58.3738835,12.3465024,0,10,2024
6350000,6,177,0,326,1969,39700,"2024-10-15","Bunkeflostrand",59.3233246,18.41078875,1,10,2024
3350000,3,85,0,681,1959,34600,"2024-10-14","Riseberga",55.597853,13.0847958,1,10,2024
7500000,6,174,24,645,1981,26017,"2024-10-10","Sibbarp",55.57200075,12.92243975,0,10,2024
4900000,4,109,0,410,1939,38500,"2024-10-09","Bunkeflostrand",55.56182925,12.9144536234205,1,10,2024
4450000,4,92,42,608,1960,30949,"2024-10-08","Videdal",55.5937336,13.0612493,0,10,2024
6130000,5,125,0,450,1923,38300,"2024-10-04","Johanneslust",55.6008514,13.04818295,1,10,2024
5850000,6,140,0,341,1971,41138,"2024-10-03","Hyllieby",59.3807293,17.9158462,1,10,2024
6800000,6,181,110,800,1965,51074,"2024-10-03","Kulladal",55.57166895,12.9908747118546,0,10,2024
5010000,5,110,65,1002,1924,33400,"2024-10-03","Virentofta",55.5877009,13.0765314,0,10,2024
9000000,5,145,41,600,1927,63144,"2024-10-02","Limhamn",55.57423455,12.9396228954355,0,10,2024
4400000,5,124,25,553,1968,42800,"2024-09-30","Husie",55.60314245,13.0850806380894,0,9,2024
4045000,5,132,90,587,1965,42200,"2024-09-27","Husie",55.5867666,13.0650896019667,0,9,2024
10000000,7,190,5,634,1964,38379,"2024-09-24","Limhamn",55.5797531,12.9500196,0,9,2024
4650000,4,100,69,777,1932,22495,"2024-09-24","Videdal",55.5926852,13.0693752,0,9,2024
5000000,3,149,30,559,1987,38574,"2024-09-23","Virentofta",55.94535635,12.8035717,0,9,2024
6100000,3,106,115,589,1962,49550,"2024-09-20","Djupadal",55.5722702,12.9493811947613,0,9,2024
4220000,3,84,47,925,1925,43927,"2024-09-19","Videdal",55.58575365,13.0655137,0,9,2024
3000000,5,117,20,526,1974,30800,"2024-09-19","Oxie",55.5424417,13.103271868114,0,9,2024
6700000,8,200,60,728,1970,44500,"2024-09-19","Kroksbäck",55.5777874,12.9784822155852,0,9,2024
5600000,4,110,25,585,1962,37786,"2024-09-19","Djupadal",55.5712409,12.94961985,0,9,2024
7300000,5,137,0,648,2011,42200,"2024-09-19","Bunkeflostrand",55.5447811,12.9252671,1,9,2024
5000000,4,112,112,792,1972,44940,"2024-09-18","Eriksfält",55.57377725,13.0115351911484,0,9,2024
4000000,4,117,0,532,1975,53200,"2024-09-15","Almvik",55.55381745,13.0210387523958,1,9,2024
6050000,4,98,0,516,2017,34200,"2024-09-13","Bunkeflostrand",58.3785576,15.6995099156175,1,9,2024
8000000,5,159,15,803,1985,31780,"2024-09-12","Bunkeflostrand",55.5595624,12.911038651701,0,9,2024
4465000,5,152,70,1057,1930,68661,"2024-09-12","Gullviksborg",55.5698073,13.02973965,0,9,2024
7700000,9,188,65,630,1934,57300,"2024-09-11","Sofielund",59.3186091,18.0702255,0,9,2024
6025000,5,110,110,764,1924,28450,"2024-09-11","Videdal",55.5942387,13.06692825,0,9,2024
2945000,4,116,116,713,1942,74591,"2024-09-09","Kattarp",55.5794798,13.044478470045,0,9,2024
4900000,4,127,0,566,2008,35727,"2024-09-07","Kristineberg",55.54203405,13.07577535,1,9,2024
4450000,3,77,45,469,1898,47757,"2024-09-06","Sibbarp",55.5686005,12.9188947,0,9,2024
8295000,5,156,0,625,2006,42500,"2024-09-06","Bunkeflostrand",55.56134275,12.9253265685948,1,9,2024
2880000,4,82,75,872,1934,24609,"2024-09-05","Käglinge",55.5595626,13.0602548,0,9,2024
4315000,4,112,56,1007,1930,37900,"2024-09-05","Husie",55.5838864,13.0663350586956,0,9,2024
5595000,6,158,0,569,1974,30900,"2024-09-04","Kulladal",57.67772285,11.8929514554979,1,9,2024
5300000,4,124,90,970,1964,46230,"2024-09-04","Djupadal",55.57662395,12.9715872085293,0,9,2024
2670000,5,137,0,223,1976,57978,"2024-09-03","Kyrkby",55.54728975,13.092206034157,1,9,2024
4800000,5,142,0,680,1989,39427,"2024-09-02","Käglinge",55.53187635,13.0796228656613,1,9,2024
13900000,7,203,88,1095,1939,46300,"2024-09-02","Sjösida",55.5925406,12.9547765182769,0,9,2024
4750000,6,117,0,714,1931,28384,"2024-08-31","Klagshamn",55.5303822,12.9219066,1,8,2024
2525000,3,73,65,748,1960,51620,"2024-08-30","Kyrkby",55.55342325,13.1039706081988,0,8,2024
6000000,5,142,19,776,1998,38197,"2024-08-30","Skumparp",55.5372407,12.9632802,0,8,2024
11100000,5,152,14,126,2004,47208,"2024-08-30","Hamnen",59.6020225,16.6080862,0,8,2024
4100000,4,110,0,470,1909,32207,"2024-08-29","Tygelsjö",55.5169132,13.0044825,1,8,2024
7100000,4,100,42,525,1928,48284,"2024-08-29","Limhamn",57.677039,11.98852715,0,8,2024
6200000,5,142,0,374,2002,36500,"2024-08-29","Vintrie",55.5541942,12.9723722,1,8,2024
6300000,6,150,0,411,2003,33800,"2024-08-28","Klagshamn",55.52284105,12.9384478258435,1,8,2024
7850000,5,164,68,745,1949,45272,"2024-08-28","Rosenvång",55.58135315,12.9611856100809,0,8,2024
6100000,4,116,10,389,1987,34700,"2024-08-28","Hyllieby",55.5700577,12.9631123,0,8,2024
7000000,7,210,42,625,2018,65400,"2024-08-27","Gullvik",55.5717519,13.0328416,0,8,2024
4325000,5,125,28,865,1991,31187,"2024-08-23","Käglinge",55.5332664,13.0816884153733,0,8,2024
7900000,5,160,80,704,1946,28198,"2024-08-23","Rosenvång",55.5798992,12.95717905,0,8,2024
6750000,5,152,0,445,2005,35200,"2024-08-23","Bunkeflostrand",55.5499569,12.9245225,1,8,2024
6300000,8,176,95,1490,1915,38400,"2024-08-22","Klagshamn",55.52350575,12.9430257,0,8,2024
3610000,6,180,19,634,1965,34062,"2024-08-21","Videdal",55.5924745,13.0669284943045,0,8,2024
4500000,4,121,0,405,1976,43338,"2024-08-20","Tygelsjö",59.6322576,16.5621206,1,8,2024
12100000,7,235,0,860,1980,50975,"2024-08-17","Mellanheden",55.5876429,12.9627735031594,1,8,2024
9350000,7,141,42,420,1909,48714,"2024-08-09","Limhamn",55.57936205,12.93560905,0,8,2024
4495000,5,109,60,1074,1946,36400,"2024-08-08","Virentofta",55.58395125,13.07658975,0,8,2024
7950000,5,150,15,668,1983,47267,"2024-08-06","Solbacken",55.5885229,12.9727663747726,0,8,2024
7900000,5,186,0,1427,2004,39719,"2024-08-03","Kyrkby",55.5120221,12.94821975,1,8,2024
4150000,6,119,0,1176,1909,50049,"2024-08-01","Kulladal",55.5668121139753,12.9959621663729,1,8,2024
5400000,4,88,72,852,1954,32830,"2024-07-30","Klagshamn",58.29905015,12.2821266835,0,7,2024
4100000,5,134,131,572,1973,48500,"2024-07-18","Kastanjegården",55.55855095,13.022467022542,0,7,2024
