house_price,listing_price,price_development,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
4775000,4775000,0,3,90,0,510,1992,49800,2025-02-03,Strandhem,57.66535835,12.1064504990281,1,2,2025
7295000,7295000,0,6,150,0,684,2017,48518,2025-02-03,Klagshamn,58.1994041,16.5863394,1,2,2025
6075000,5895000,180000,5,150,0,365,2003,39280,2025-02-02,Klagshamn,55.52292115,12.9376822244941,1,2,2025
5200000,5395000,-195000,5,111,5,594,1905,69148,2025-01-31,Tygelsjö,55.5176131,13.0007238,0,1,2025
4350000,4495000,-145000,4,98,0,352,1964,33329,2025-01-31,Videdal,55.588542,13.0648610948492,1,1,2025
3500000,3395000,105000,5,147,0,420,1976,52307,2025-01-30,Kyrkby,59.6003787,16.5111849,1,1,2025
5800000,5975000,-175000,5,130,0,257,2017,23600,2025-01-30,Bunkeflostrand,55.5544564173096,12.9325565954501,1,1,2025
9100000,9295000,-195000,5,152,28,421,1880,51481,2025-01-28,Limhamn,55.5841792,12.925059053662,0,1,2025
9800000,9950000,-150000,7,209,47,759,1985,36360,2025-01-27,Bunkeflostrand,55.5600507,12.9122354237087,0,1,2025
4500000,3695000,805000,7,160,114,975,1967,36168,2025-01-24,Käglinge,55.53553245,13.08029725,0,1,2025
6700000,7495000,-795000,5,148,15,490,2001,52025,2025-01-22,Bunkeflostrand,55.5556457,12.9306617,0,1,2025
4600000,4195000,405000,7,177,12,456,1979,41930,2025-01-22,Kristineberg,59.5625129,16.4646678,0,1,2025
6650000,6475000,175000,4,127,0,513,2003,44990,2025-01-22,Bunkeflostrand,55.5525589,12.9272936,1,1,2025
12000000,13300000,-1300000,6,165,45,754,1909,79000,2025-01-21,Limhamn,55.575963,12.9202223,0,1,2025
6500000,6895000,-395000,6,198,10,1037,1969,46720,2025-01-15,Riseberga,55.59813325,13.0768069621599,0,1,2025
2000000,2595000,-595000,2,57,0,1224,1836,30433,2025-01-15,Oxie,55.5313887,13.0759526054161,1,1,2025
5000000,4895000,105000,4,121,0,513,2008,37500,2025-01-14,Kristineberg,55.54068785,13.0788565886377,1,1,2025
4850000,4995000,-145000,4,125,102,840,1961,33401,2025-01-10,Virentofta,55.5904628,13.0752389,0,1,2025
8000000,7995000,5000,6,167,60,1884,2011,31447,2025-01-10,Tygelsjö,55.5118323,12.9495041805591,0,1,2025
7000000,7475000,-475000,6,189,87,846,1948,45200,2025-01-08,Rosenvång,55.5804822,12.9619998959959,0,1,2025
5875000,5595000,280000,4,123,42,633,2008,31991,2025-01-08,Virentofta,55.5834577,13.0778919694236,0,1,2025
2850000,3595000,-745000,8,165,0,476,1909,33500,2024-12-30,Virentofta,55.5902379,13.0994888,1,12,2024
