house_price,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
4900000,4,140,47,699,1997,33768,2024-06-20,Riseberga,55.60508205,13.0946968607569,0,6,2024
6160000,6,142,16,584,1985,31200,2024-06-17,Tygelsjö,55.5169132,13.0044825,0,6,2024
17350000,8,251,143,1867,1951,70631,2024-06-16,Sjösida,55.59000145,12.9470235356599,0,6,2024
3550000,5,109,14,704,1965,35500,2024-06-15,Tygelsjö,55.63471635,13.10164845,0,6,2024
3175000,4,100,0,370,1964,36280,2024-06-12,Kristineberg,55.5446564,13.0796189757508,1,6,2024
3195000,4,100,0,495,1963,26604,2024-06-12,Kyrkby,55.54638425,13.0969192756264,1,6,2024
22000000,6,273,7,1010,1972,66900,2024-06-12,Fridhem,59.610766,16.5738848,0,6,2024
5650000,5,178,10,631,1962,34500,2024-06-07,Djupadal,55.576977050000004,12.9641716693642,0,6,2024
4795000,5,123,29,262,1968,9704,2024-05-29,Ulricedal,55.5958523,13.0578147715244,0,5,2024
6610000,4,122,9,598,2004,37698,2024-05-25,Riseberga,55.5975527,13.0917261,0,5,2024
5975000,4,136,0,320,1995,32400,2024-05-23,Bunkeflostrand,55.555975,12.9151426489111,1,5,2024
6180000,6,136,38,376,1966,39494,2024-05-14,Kyrkby,55.5728639,12.9671087635991,0,5,2024
7600000,6,130,90,823,1923,48400,2024-04-27,Rosenvång,55.5854892,12.9547363824169,0,4,2024
14500000,7,242,95,865,1915,81410,2024-04-27,Sjösida,55.5887623,12.9524182140175,0,4,2024
7300000,7,220,13,992,2007,40500,2024-04-18,Tygelsjö,55.5222279,13.00462205,0,4,2024
15750000,6,202,99,1186,1950,47448,2024-04-08,Fridhem,55.65967,12.481528,0,4,2024
8700000,6,160,58,784,1959,56785,2024-03-29,Limhamn,55.5770399,12.9222008441233,0,3,2024
6750000,11,258,0,863,1982,43100,2024-03-28,Kulladal,55.5743517719314,12.9990829418773,1,3,2024
5295000,5,134,0,683,1909,32061,2024-03-22,Vintrie,55.5539823,12.9604342,1,3,2024
6495000,3,103,0,244,1909,50432,2024-03-14,Limhamn,55.5853627,12.927452,1,3,2024
6660000,4,120,0,447,2004,37403,2024-03-10,Bunkeflostrand,55.5531485,12.9274834,1,3,2024
4000000,5,138,0,464,1979,37140,2024-03-08,Kristineberg,55.5444159,13.0732367432174,1,3,2024
5700000,5,110,40,313,1909,28580,2024-02-28,Sofielund,55.5846961,13.0148095513355,0,2,2024
6500000,6,155,0,825,2003,55400,2024-02-27,Riseberga,55.5975527,13.0917261,1,2,2024
7050000,5,140,50,624,1960,35860,2024-02-22,Limhamn,55.5828063,12.9367725,0,2,2024
5300000,6,142,125,933,1935,54500,2024-02-12,Söderkulla,57.92260075,12.5007804428852,0,2,2024
6700000,6,160,0,487,2003,27088,2024-02-04,Lindeborg,55.5554873154424,12.9939100131213,1,2,2024
5180000,6,150,28,893,2011,38262,2024-02-02,Oxie,55.5447236,13.0882550826753,0,2,2024
7950000,7,141,85,796,1957,37444,2024-01-24,Rosenvång,55.5812682,12.9604636236554,0,1,2024
5650000,5,121,39,770,1926,16527,2023-12-20,Kulladal,55.57264245,12.992642717913,0,12,2023
5300000,8,200,0,586,1968,41520,2023-12-13,Husie,55.58265875,13.0778727424205,1,12,2023
4650000,4,94,94,593,1963,31355,2023-12-07,Virentofta,55.586145,13.0765402,0,12,2023
5200000,6,210,28,1415,1977,30346,2023-12-04,Kvarnby,55.5888376,13.107091325453,0,12,2023
4375000,3,100,0,456,1978,20600,2023-11-29,Kristineberg,55.54544285,13.0755695860531,1,11,2023
4075000,5,121,0,426,1962,47400,2023-11-19,Husie,55.60113435,13.0850662524518,1,11,2023
3025000,5,127,21,488,1976,53800,2023-11-16,Kyrkby,55.5490527,13.09238895,0,11,2023
3900000,4,153,29,796,1982,33965,2023-11-13,Käglinge,55.53546595,13.0755042522556,0,11,2023
5975000,4,96,26,172,1891,48080,2023-11-04,Limhamn,55.6327144,13.0655490162276,0,11,2023
7350000,7,198,0,725,1978,37200,2023-11-01,Limhamn,55.57411755,12.9234373,1,11,2023
3600000,4,90,50,779,1949,47993,2023-10-27,Kulladal,57.7930115,13.1299026,0,10,2023
5850000,4,110,85,713,1923,36313,2023-10-27,Rostorp,55.6142394112806,13.0438866900241,0,10,2023
5650000,4,145,38,800,2008,22400,2023-10-27,Oxie,55.53685345,13.1103703298062,0,10,2023
4200000,4,121,41,952,1977,47268,2023-10-27,Kyrkby,59.2812357,17.9919563,0,10,2023
5195000,5,127,0,380,1966,30666,2023-10-22,Bunkeflostrand,55.5543985,12.9099051,1,10,2023
5700000,4,95,0,678,2011,30150,2023-10-20,Strandhem,55.3813571,13.1803668,1,10,2023
6500000,5,163,16,326,1968,36758,2023-10-18,Bunkeflostrand,55.5530097,12.9091194,0,10,2023
6500000,7,174,16,824,1959,57000,2023-10-18,Husie,55.6022864,13.0832414518132,0,10,2023
6050000,5,122,0,1033,1929,43700,2023-09-26,Husie,55.5983094,13.0809891600487,1,9,2023
5100000,6,125,22,385,1962,31022,2023-09-24,Kroksbäck,55.5754157,12.9690189787657,0,9,2023
4000000,5,134,83,572,1973,14000,2023-09-13,Kastanjegården,55.5584871,13.0241431528866,0,9,2023
6360000,4,117,14,412,1998,47920,2023-09-09,Limhamn,55.5835731,12.9351006,0,9,2023
