"","house_price","number_of_rooms","living_area","secondary_area","plot_area","year_built","operating_cost","sale_date","neighborhood","latitude","longitude","secondary_area_missing","month","year"
"1",5850000,-0.194781083202202,-0.12774916560291,-0.886483989221043,-0.462834856297068,0.839750982862569,-0.0767111638224996,"2025-04-01","Bunkeflostrand",55.5558526,12.9136979,1,4,1.9205997965785
"2",6750000,0.565947258415286,0.0844784754026329,-0.542378354739121,-1.00163464633578,0.131514112937186,0.159948012188203,"2025-03-30","Djupadal",55.5736142,12.9647368023397,0,3,1.9205997965785
"3",5910000,-0.194781083202202,0.343867814409407,-0.657080232899761,-0.84177097236825,1.16435954824504,-1.44998319954358,"2025-03-28","Kvarnby",55.58687315,13.1013893615262,0,3,1.9205997965785
"4",5850000,-0.955509424819689,-0.363557655609068,-0.17533234462507,-0.320733812770375,1.25288915698571,-0.570285199247028,"2025-03-27","Kristineberg",57.7541695,12.0737787590589,0,3,1.9205997965785
"5",4195000,-0.955509424819689,-1.25962991763247,0.994626812613465,0.167738524352633,-0.0750549741243842,-0.751003874609263,"2025-03-26","Käglinge",55.5332117,13.0773490985896,0,3,1.9205997965785
"6",6700000,1.32667560003277,1.19277837843158,-0.198272720257199,-0.800324834672965,0.36759306957898,-0.29311465643008,"2025-03-26","Bunkeflostrand",55.5486887,12.9165941,0,3,1.9205997965785
"7",4450000,0.565947258415286,-0.0334257696004464,-0.748841735428274,2.91798580427551,-1.04888067027179,1.02160579445385,"2025-03-22","Oxie",55.5426139,13.0938637,0,3,1.9205997965785
"8",7000000,0.565947258415286,0.249544418406944,-0.725901359796146,-0.184553646057294,0.16102398251741,-0.376115484124907,"2025-03-21","Bunkeflostrand",55.56076135,12.9183741,0,3,1.9205997965785
"9",3210000,-0.955509424819689,-0.858755484622001,-0.886483989221043,-1.03715990721745,0.249553591258083,-0.0386526336783511,"2025-03-20","Kyrkby",55.5468963,13.1029894083706,1,3,1.9205997965785
"10",6000000,-0.955509424819689,-0.0334257696004464,-0.519437979106993,-0.0394921641237949,-0.25211419160573,0.43616906984563,"2025-03-20","Husie",55.5994596,13.0805156944635,0,3,1.9205997965785
"11",4225000,-0.955509424819689,-0.835174635621385,-0.886483989221043,-0.3325755663976,0.131514112937186,0.302449909879703,"2025-03-20","Husie",55.6044137,13.0879930045139,1,3,1.9205997965785
"12",5700000,-0.194781083202202,-0.339976806608452,-0.886483989221043,1.02922610073321,0.662691765381223,-0.392652350653237,"2025-03-20","Virentofta",60.56338945,17.45504595,1,3,1.9205997965785
"13",6525000,0.565947258415286,0.202382720405712,-0.886483989221043,-0.838810533961444,1.16435954824504,0.942640278686991,"2025-03-19","Klagshamn",55.5220507,12.9377942965905,1,3,1.9205997965785
"14",3200000,-1.71623776643718,-1.73124689764479,-0.312974598417839,-0.131265754734784,-1.58005832271582,-0.661356650797787,"2025-03-19","Tygelsjö",55.63433925,13.1018402708631,0,3,1.9205997965785
"15",3500000,0.565947258415286,-0.269234259606605,-0.886483989221043,-1.03715990721745,0.249553591258083,0.702183162038202,"2025-03-18","Kyrkby",55.5467679,13.1029297767664,1,3,1.9205997965785
"16",4300000,-0.194781083202202,-0.174910863604142,1.01756718824559,0.265432991777234,0.308573330418532,0.265261741131783,"2025-03-18","Kastanjegården",55.5545246,13.0255250272175,0,3,1.9205997965785
"17",4200000,0.565947258415286,0.060897626402017,2.18752634548413,-0.824008341927414,-0.960351061531113,0.748549687328163,"2025-03-17","Söderkulla",55.574968,13.0168931,0,3,1.9205997965785
"18",9250000,2.08740394165026,1.57007196244143,-0.886483989221043,-0.797364396266159,1.66602733110885,-0.196821036501954,"2025-03-16","Bunkeflostrand",55.5457852,12.9201363,1,3,1.9205997965785
"19",5000000,0.565947258415286,0.438191210411871,-0.886483989221043,-0.140147069955203,1.34141876572638,1.48060274531914,"2025-03-14","Hindby",55.57683915,13.0376044103224,1,3,1.9205997965785
"20",4150000,-0.955509424819689,-0.858755484622001,0.421117421810261,-0.0602152329714376,-1.07839053985201,-0.318909003263744,"2025-03-09","Höja",55.5839696,13.06351605,0,3,1.9205997965785
"21",5270000,-0.194781083202202,-0.434300202610916,0.398177046178133,-0.723353436096006,-0.960351061531113,1.40076686815605,"2025-03-07","Kulladal",55.57100235,12.9926928590722,0,3,1.9205997965785
"22",6850000,0.565947258415286,0.0137359284007853,0.19171366548898,0.64140866944161,-1.25544975733336,0.533966041276332,"2025-03-06","Hyllieby",55.5703473,12.9616343,0,3,1.9205997965785
"23",7495000,0.565947258415286,0.673999700418029,-0.565318730371249,0.795351466595528,1.34141876572638,-1.06322624456521,"2025-02-23","Oxie",55.53737995,13.1090473186674,0,2,1.9205997965785
"24",7100000,0.565947258415286,0.367448663410023,-0.886483989221043,0.223986854081949,1.6070075919484,-0.172055298591104,"2025-02-23","Oxie",56.10053265,12.7507080107854,1,2,1.9205997965785
"25",7800000,1.32667560003277,0.579676304415566,-0.886483989221043,0.913769002867772,-1.13741027901246,-0.394630444735574,"2025-02-22","Bunkeflostrand",55.55881595,12.9098785,1,2,1.9205997965785
"26",3850000,-0.955509424819689,-1.40111501163617,0.214654041121108,-0.741116066536843,-0.0750549741243842,-1.06520433864755,"2025-02-18","Husie",55.5936144,13.0787922,0,2,1.9205997965785
"27",4850000,1.32667560003277,-0.151330014603526,0.948746061349208,-0.243762414193416,0.279063460838307,0.705189865043353,"2025-02-18","Kastanjegården",55.5586999,13.02363115,0,2,1.9205997965785
