slutpris,utgangspris,prisutv,antal_rum,boarea,biarea,tomtarea,byggar,driftkostnad,sälj_datum,område,latitude,longitude
6075000,5895000,180000,5,150,NA,365,2003,39280,2 februari 2025,Klagshamn,55.52292115,12.9376822244941
5200000,5395000,-195000,5,111,5,594,1905,69148,31 januari 2025,Tygelsjö,55.5176131,13.0007238
4350000,4495000,-145000,4,98,NA,352,1964,33329,31 januari 2025,Videdal,55.588542,13.0648610948492
3500000,3395000,105000,5,147,NA,420,1976,52307,30 januari 2025,Kyrkby,59.6003787,16.5111849
5800000,5975000,-175000,5,130,NA,257,2017,23600,30 januari 2025,Bunkeflostrand,55.5544564173096,12.9325565954501
9100000,9295000,-195000,5,152,28,421,1880,51481,28 januari 2025,Limhamn,55.5841792,12.925059053662
9800000,9950000,-150000,7,209,47,759,1985,36360,27 januari 2025,Bunkeflostrand,55.5600507,12.9122354237087
5310000,5395000,-85000,5,131,NA,221,2012,33988,25 januari 2025,Trädgård,55.5918638,13.0888664
4500000,3695000,805000,7,160,114,975,1967,36168,24 januari 2025,Käglinge,55.53553245,13.08029725
6700000,7495000,-795000,5,148,15,490,2001,52025,22 januari 2025,Bunkeflostrand,55.5556457,12.9306617
4600000,4195000,405000,7,177,12,456,1979,41930,22 januari 2025,Kristineberg,59.5625129,16.4646678
6650000,6475000,175000,4,127,NA,513,2003,44990,22 januari 2025,Bunkeflostrand,55.5525589,12.9272936
12000000,13300000,-1300000,6,165,45,754,1909,79000,21 januari 2025,Limhamn,55.575963,12.9202223
6500000,6895000,-395000,6,198,10,1037,1969,46720,15 januari 2025,Riseberga,55.59813325,13.0768069621599
2000000,2595000,-595000,2,57,NA,1224,1836,30433,15 januari 2025,Oxie,55.5313887,13.0759526054161
5000000,4895000,105000,4,121,NA,513,2008,37500,14 januari 2025,Kristineberg,55.54068785,13.0788565886377
4850000,4995000,-145000,4,125,102,840,1961,33401,10 januari 2025,Virentofta,55.5904628,13.0752389
8000000,7995000,5000,6,167,60,1884,2011,31447,10 januari 2025,Tygelsjö,55.5118323,12.9495041805591
7000000,7475000,-475000,6,189,87,846,1948,45200,8 januari 2025,Rosenvång,55.5804822,12.9619998959959
5875000,5595000,280000,4,123,42,633,2008,31991,8 januari 2025,Virentofta,55.5834577,13.0778919694236
2850000,3595000,-745000,8,165,NA,476,1909,33500,30 december 2024,Virentofta,55.5902379,13.0994888
2735000,3095000,-360000,5,68,23,552,1930,NA,23 december 2024,Kyrkby,55.54049105,13.1221018013059
7200000,7295000,-95000,5,135,8,186,2018,30750,20 december 2024,Sjöstad,55.5908031,12.9338728
4900000,4895000,5000,6,158,NA,849,1986,42017,20 december 2024,Käglinge,55.6361208,13.0801035525588
12100000,10950000,1150000,7,178,70,721,1955,61037,19 december 2024,Rosenvång,55.58168945,12.9468854476481
6800000,6495000,305000,5,167,145,1027,1930,69336,19 december 2024,Husie,55.5972867,13.081095249708
5775000,5995000,-220000,4,97,NA,486,2020,34002,19 december 2024,Bunkeflostrand,57.6656344,12.1072292924045
3765000,3245000,520000,5,145,NA,491,1977,NA,18 december 2024,Kyrkby,55.548205,13.104367665779
5000000,5295000,-295000,4,132,91,1003,1940,48684,18 december 2024,Husie,55.59184675,13.0832691690534
6995000,7495000,-500000,6,150,15,589,1962,28500,18 december 2024,Djupadal,55.5712517,12.9490143698361
8550000,8900000,-350000,7,182,NA,456,2010,42370,11 december 2024,Vintrie,55.5540461,12.9595115
3895000,3895000,0,6,118,37,443,1913,41109,11 december 2024,Rosengård,55.5822901,13.0344208
5075000,5295000,-220000,5,160,20,840,1962,32470,10 december 2024,Käglinge,55.53347255,13.0778618065107
5900000,6200000,-300000,6,121,200,965,1971,39037,10 december 2024,Tygelsjö,55.5169132,13.0044825
5900000,5695000,205000,6,100,27,487,1909,28367,9 december 2024,Sibbarp,55.5686005,12.9188947
12500000,12895000,-395000,6,243,119,892,1943,77602,8 december 2024,Sjösida,55.5921541,12.950877361814
3700000,3100000,600000,4,92,57,481,1927,56685,7 december 2024,Eriksfält,55.576255,13.0085794056732
8750000,8895000,-145000,7,133,49,655,1937,35464,6 december 2024,Rosenvång,55.5830851,12.9552456
