slutpris,utgangspris,prisutv,antal_rum,boarea,biarea,tomtarea,byggar,driftkostnad,sälj_datum,område,latitude,longitude
3900000,4250000,-350000,5,170,NA,494,1975,29250,2 januari 2024,Kulladal,55.5681917,12.9947318
4400000,4850000,-450000,6,116,69,523,1945,39836,29 december 2023,Eriksfält,55.57356575,13.0087068851005
3800000,4195000,-395000,6,125,121,600,1941,38400,29 december 2023,Kattarp,55.58007095,13.0427261319535
8600000,8995000,-395000,6,187,14,132,1956,61200,23 december 2023,Sjösida,-23.2335499,17.3231107
13300000,13750000,-450000,7,284,41,1028,1909,39179,22 december 2023,Sjösida,55.5883074,12.9482631
5100000,5495000,-395000,5,115,15,492,1959,18333,22 december 2023,Strandhem,57.66254905,12.1080398737374
9200000,9995000,-795000,9,225,NA,312,1909,47590,21 december 2023,Limhamn,55.5828063,12.9367725
4900000,5195000,-295000,4,127,NA,546,2008,33590,21 december 2023,Kristineberg,55.5420491,13.07547545
5650000,5495000,155000,5,121,39,770,1926,16527,20 december 2023,Kulladal,55.57264245,12.992642717913
4700000,4795000,-95000,3,111,10,425,2007,56100,18 december 2023,Tygelsjö,56.2038919,15.6469635
5025000,4995000,30000,5,126,13,305,1972,39911,17 december 2023,Djupadal,55.5699984,12.9519887313406
3300000,3495000,-195000,5,120,NA,332,1988,31251,15 december 2023,Gullvik,55.572786,13.02604525
3200000,2795000,405000,5,102,23,413,1916,69020,14 december 2023,Kattarp,56.04503125,12.7376103471739
4250000,4195000,55000,4,109,83,970,1925,41380,14 december 2023,Almhög,55.57661065,13.02150175
6300000,6495000,-195000,6,158,NA,441,2001,53093,14 december 2023,Bunkeflostrand,55.7247293,13.3603979730956
5300000,5995000,-695000,8,200,NA,586,1968,41520,13 december 2023,Husie,55.58265875,13.0778727424205
3150000,3495000,-345000,4,89,NA,720,1909,27000,10 december 2023,Trädgård,55.5902379,13.0994888
12450000,12975000,-525000,9,216,82,1366,1906,72893,10 december 2023,Sjösida,55.5907974,12.9474863147239
4200000,4500000,-300000,6,149,4,504,1979,32136,10 december 2023,Bergdala,59.3399282,17.9450451
7150000,7495000,-345000,6,147,NA,610,1960,38400,10 december 2023,Limhamn,55.8668487,13.0825323868211
5275000,6295000,-1020000,6,131,52,1284,1987,30988,8 december 2023,Klagshamn,55.5308,12.938059453817
6600000,6795000,-195000,5,135,6,287,2021,32525,8 december 2023,Bunkeflostrand,55.5495976,12.9296775
4650000,4850000,-200000,4,94,94,593,1963,31355,7 december 2023,Virentofta,55.586145,13.0765402
5430000,5295000,135000,5,122,25,490,1986,34851,6 december 2023,Bunkeflostrand,55.55988405,12.90930675
6400000,6495000,-95000,5,107,79,810,1923,54000,6 december 2023,Rostorp,57.7304911,11.9168735
2895000,2895000,0,4,95,15,333,1986,31890,6 december 2023,Segevång,55.61594705,13.0600585410225
4000000,3695000,305000,4,115,128,621,1927,59207,5 december 2023,Eriksfält,55.570136,13.0151447
3450000,3550000,-100000,4,119,NA,446,1976,30471,5 december 2023,Tygelsjö,59.6322576,16.5621206
5200000,5695000,-495000,6,210,28,1415,1977,30346,4 december 2023,Kvarnby,55.5888376,13.107091325453
11900000,12995000,-1095000,6,178,154,857,1937,58547,4 december 2023,Rosenvång,55.5827528,12.9613462424033
3400000,4295000,-895000,4,120,55,998,1929,31672,30 november 2023,Husie,55.58920775,13.0749719
4550000,4795000,-245000,4,133,NA,436,1991,39115,30 november 2023,Bunkeflostrand,55.5558606,12.9118158
4175000,4395000,-220000,5,126,NA,624,1955,34805,30 november 2023,Riseberga,55.59917785,13.07536535
4375000,4495000,-120000,3,100,NA,456,1978,20600,29 november 2023,Kristineberg,55.54544285,13.0755695860531
7050000,6995000,55000,4,140,NA,409,1958,13254,29 november 2023,Limhamn,55.8692581,13.1558772887141
5368900,4895000,473900,6,156,NA,409,1974,56219,29 november 2023,Tygelsjö,55.5137704,13.0010815408338
6000000,6295000,-295000,4,133,75,997,1987,23978,28 november 2023,Riseberga,55.5989056,13.0830428975528
3400000,4095000,-695000,4,130,65,904,1936,39337,27 november 2023,Kyrkby,55.55110205,13.0959701250403
8275000,8275000,0,7,140,14,207,1956,70223,26 november 2023,Sjösida,-23.2335499,17.3231107
6450000,6595000,-145000,7,179,43,556,1983,45397,25 november 2023,Sibbarp,55.5725006,12.9229998930137
5350000,5395000,-45000,4,131,8,236,2012,32300,24 november 2023,Trädgård,55.5917558,13.0892993
5300000,5395000,-95000,8,201,NA,650,1984,58149,23 november 2023,Käglinge,55.52934525,13.0783734466136
4675000,4695000,-20000,4,142,45,718,1984,57900,22 november 2023,Ellenborg,55.5930721,13.0732837
13500000,13975000,-475000,8,234,138,809,1963,86977,21 november 2023,Sjösida,55.59221745,12.9489580666546
4050000,4495000,-445000,5,103,17,404,1930,22005,20 november 2023,Bunkeflostrand,55.56066575,12.9233609543812
3600000,3995000,-395000,5,105,55,590,1938,41300,19 november 2023,Gullvik,55.57398135,13.02906785
4075000,4495000,-420000,5,121,NA,426,1962,47400,19 november 2023,Husie,55.60113435,13.0850662524518
7050000,7500000,-450000,5,110,36,902,1969,26832,18 november 2023,Mellanheden,55.58455305,12.9636393557455
3000000,2795000,205000,5,127,21,647,1976,65300,17 november 2023,Kyrkby,55.54971715,13.0946863089021
7300000,7495000,-195000,4,137,6,196,2014,36640,17 november 2023,Sjöstad,55.5921704455059,12.9345684000095
7300000,7500000,-200000,4,160,NA,580,2023,NA,17 november 2023,Bunkeflostrand,55.5288922,12.9262552
6000000,6295000,-295000,5,144,NA,405,2007,38643,16 november 2023,Vintrie,55.5520032,12.9616601
3025000,3200000,-175000,5,127,21,488,1976,53800,16 november 2023,Kyrkby,55.5490527,13.09238895
3750000,3650000,100000,6,120,NA,399,1969,26868,15 november 2023,Oxie,55.54266025,13.10076725
3660000,3795000,-135000,6,147,50,518,1969,13067,14 november 2023,Villastad,55.5753383,13.0729556768038
4300000,3985000,315000,6,139,14,556,1966,49185,14 november 2023,NA,55.58924735,13.0730243630351
8695000,8695000,0,7,216,8,602,2006,30600,14 november 2023,Klagshamn,55.52289205,12.9301548427576
3900000,4495000,-595000,4,153,29,796,1982,33965,13 november 2023,Käglinge,55.53546595,13.0755042522556
5200000,6195000,-995000,8,204,124,769,1963,56860,11 november 2023,Käglinge,55.53408685,13.0782313779282
8495000,8495000,0,7,161,40,1150,1932,35878,11 november 2023,Bellevue,55.57912075,12.9726933642846
9900000,10995000,-1095000,5,190,8,570,1977,48097,10 november 2023,Sjösida,55.59141745,12.9548360519931
6000000,6195000,-195000,NA,129,10,337,2013,40200,10 november 2023,Tygelsjö,55.5174699,12.98566
10500000,13995000,-3495000,8,346,34,1179,2004,26363,9 november 2023,Klagshamn,55.5338115,12.922364
6000000,5895000,105000,6,166,45,850,1967,24728,8 november 2023,Riseberga,55.59721465,13.0757321749006
2055000,2495000,-440000,5,95,61,552,1930,NA,8 november 2023,Oxie,55.54049105,13.1221018013059
4100000,3995000,105000,5,109,NA,452,1967,34200,6 november 2023,Bunkeflostrand,55.5529986,12.9134679
5975000,6075000,-100000,4,96,26,172,1891,48080,4 november 2023,Limhamn,55.6327144,13.0655490162276
10945000,11995000,-1050000,7,197,94,432,1907,49713,3 november 2023,Limhamn,57.6933018,11.95424285
8600000,8990000,-390000,7,230,NA,491,2021,38808,3 november 2023,Bunkeflostrand,56.00633995,12.8109927
5050000,4995000,55000,6,211,14,450,1977,30500,2 november 2023,Bunkeflostrand,55.5188495328683,13.2281599634549
5688000,5895000,-207000,5,135,NA,468,2003,23560,2 november 2023,Bunkeflostrand,55.5525589,12.9272936
7350000,7495000,-145000,7,198,NA,725,1978,37200,1 november 2023,Limhamn,55.57411755,12.9234373
4925000,4295000,630000,4,94,2,384,1963,36500,31 oktober 2023,Djupadal,55.5708989,12.9511449478383
5725000,6195000,-470000,5,125,NA,729,1989,33510,31 oktober 2023,Kvarnby,55.5908246,13.1022584147489
3575000,3800000,-225000,3,77,21,516,1944,19200,30 oktober 2023,Strandhem,55.5393389,12.9180413
2400000,2895000,-495000,5,110,70,1454,1949,22200,29 oktober 2023,Husie,55.5681678,13.1259623
7500000,7495000,5000,5,150,23,485,1970,42331,28 oktober 2023,Rosenvång,55.58082175,12.9527913872573
3600000,3995000,-395000,4,90,50,779,1949,47993,27 oktober 2023,Kulladal,57.7930115,13.1299026
5850000,5495000,355000,4,110,85,713,1923,36313,27 oktober 2023,Rostorp,55.6142394112806,13.0438866900241
5650000,5695000,-45000,4,145,38,800,2008,22400,27 oktober 2023,Oxie,55.53685345,13.1103703298062
4715000,4895000,-180000,6,134,83,572,1973,52700,27 oktober 2023,Kastanjegården,55.5578513,13.0251195528866
4200000,4795000,-595000,4,121,41,952,1977,47268,27 oktober 2023,Kyrkby,59.2812357,17.9919563
10025000,9345000,680000,5,183,75,1045,1928,46800,27 oktober 2023,Solbacken,55.58688355,12.9729434042132
7700000,8895000,-1195000,6,150,NA,427,1958,38464,26 oktober 2023,Sibbarp,55.57442895,12.913051921035
4595000,4595000,0,4,106,60,853,1935,43850,25 oktober 2023,Virentofta,55.5926626,13.0738525
6700000,7495000,-795000,3,123,NA,327,2008,49930,25 oktober 2023,Limhamn,55.57587315,12.921742693895
3500000,3995000,-495000,4,86,30,775,1957,24582,25 oktober 2023,Bunkeflostrand,59.3700329,17.9873602
3530000,3495000,35000,4,71,NA,204,1840,23840,24 oktober 2023,Vintrie,57.73415435,12.093955656403
8495000,8495000,0,6,207,45,659,2017,NA,24 oktober 2023,Klagshamn,63.89468855,19.7415588208117
6895000,6995000,-100000,6,158,23,1317,2017,33323,24 oktober 2023,By,55.5148107,12.9495213
5195000,5295000,-100000,5,127,NA,380,1966,30666,22 oktober 2023,Bunkeflostrand,55.5543985,12.9099051
3400000,3495000,-95000,5,149,34,458,1964,31600,20 oktober 2023,Kyrkby,59.37219595,17.8792039475945
5700000,5955000,-255000,4,95,NA,678,2011,30150,20 oktober 2023,Strandhem,55.3813571,13.1803668
4300000,4150000,150000,5,NA,NA,380,1966,29397,19 oktober 2023,BUNKEFLOSTRAND,55.5544039,12.9116459
4000000,4195000,-195000,5,149,30,644,1920,47000,18 oktober 2023,Gullvik,55.57012335,13.03435755
6500000,6495000,5000,5,163,16,326,1968,36758,18 oktober 2023,Bunkeflostrand,55.5530097,12.9091194
6500000,6495000,5000,7,174,16,824,1959,57000,18 oktober 2023,Husie,55.6022864,13.0832414518132
8750000,10000000,-1250000,6,172,18,600,1979,31723,16 oktober 2023,Västervång,59.3403049,18.0346759
3410000,3995000,-585000,4,138,NA,666,1978,39304,16 oktober 2023,Kristineberg,55.5452025,13.07216855
8700000,8975000,-275000,4,204,202,1026,1963,59200,15 oktober 2023,Limhamn,55.5799325,12.9488627885714
4900000,4995000,-95000,5,136,90,642,1971,40626,13 oktober 2023,Kulladal,55.5745553,12.9933080919072
8900000,9475000,-575000,6,178,NA,560,1961,45500,13 oktober 2023,Limhamn,55.5828063,12.9367725
4350000,4285000,65000,7,182,20,664,1962,61100,13 oktober 2023,Stenkällan,55.5834337,13.075631
14500000,14975000,-475000,5,232,196,1039,NA,42000,11 oktober 2023,Sjösida,57.671406,11.9800600433151
5500000,6250000,-750000,5,135,NA,579,1986,32995,8 oktober 2023,Bunkeflostrand,55.56008845,12.91112045
7900000,6995000,905000,5,190,95,758,1928,59815,6 oktober 2023,Kulladal,55.57368455,12.9933337
6500000,6995000,-495000,4,160,NA,1301,2001,41649,5 oktober 2023,Tygelsjö,55.53021335,13.0149937487099
7250000,7475000,-225000,6,187,NA,810,1981,37000,3 oktober 2023,Bunkeflostrand,55.5592144,12.9224743281354
3900000,3995000,-95000,5,150,55,518,1968,38083,3 oktober 2023,villastad,55.5765903,13.0691327
4100000,3700000,400000,4,117,35,437,1967,32050,2 oktober 2023,Djupadal,55.5700206,12.9649366291254
6800000,6495000,305000,6,133,55,841,1959,56000,1 oktober 2023,Sibbarp,59.341039,18.0691103
6000000,7995000,-1995000,5,138,53,622,1976,35831,30 september 2023,Djupadal,55.5743097,12.9626305431479
13050000,14495000,-1445000,8,241,74,984,NA,64700,30 september 2023,Sjösida,55.59014805,12.9578128515993
3650000,3895000,-245000,4,108,31,541,1969,17288,29 september 2023,Villastad,55.57678195,13.07386695
4700000,3695000,1005000,4,108,60,810,1923,47136,29 september 2023,Rostorp,55.6132778531249,13.0436610557896
10400000,12750000,-2350000,6,165,100,929,1934,30561,28 september 2023,Sjösida,55.5924419,12.95512465
5400000,5495000,-95000,5,124,69,322,1954,52518,27 september 2023,Limhamn,55.5819728,12.9589249
4600000,4995000,-395000,5,170,55,460,1968,49100,27 september 2023,Husie,55.60487705,13.086922596781
6050000,5495000,555000,5,122,NA,1033,1929,43700,26 september 2023,Husie,55.5983094,13.0809891600487
6425000,6495000,-70000,5,140,40,785,2004,45600,26 september 2023,Klagshamn,59.2434375,17.9647566
6750000,6495000,255000,5,135,13,451,2006,28200,24 september 2023,Bunkeflostrand,55.5500927,12.9197979
5100000,4695000,405000,6,125,22,385,1962,31022,24 september 2023,Kroksbäck,55.5754157,12.9690189787657
14000000,13845000,155000,6,190,89,831,1960,NA,23 september 2023,Västervång,55.593023,12.9566338
5265000,4995000,270000,7,238,17,810,1975,48855,23 september 2023,Bunkeflostrand,55.55949695,12.9225397715294
8100000,8495000,-395000,6,153,28,640,2014,39200,22 september 2023,Tygelsjö,55.5174699,12.98566
4865000,5295000,-430000,6,184,36,546,1971,69500,21 september 2023,Tygelsjö,55.514642,13.0004301
5850000,5995000,-145000,5,130,6,328,2016,27200,20 september 2023,Klagshamn,56.6499735,16.4803906
2780000,2795000,-15000,4,66,53,289,1927,39200,20 september 2023,Eriksfält,55.57249525,13.0095920097633
7600000,7995000,-395000,6,170,NA,483,2003,41000,20 september 2023,Hyllie,58.38989705,15.5563177996665
5000000,5295000,-295000,5,180,10,690,1962,48885,19 september 2023,Limhamn,55.5703979,12.94937765
7900000,8645000,-745000,6,193,123,958,1965,66144,17 september 2023,Bellevue,55.5821257,12.9680351612624
4300000,3995000,305000,6,151,NA,504,1984,27714,14 september 2023,kyrkby,60.2645907,24.7313943
4000000,4395000,-395000,5,134,83,572,1973,14000,13 september 2023,Kastanjegården,55.5584871,13.0241431528866
11200000,10995000,205000,5,175,60,704,1939,32000,13 september 2023,Rosenvång,55.5830851,12.9552456
4300000,4695000,-395000,4,117,70,760,1929,43674,13 september 2023,Kulladal,55.5710129,12.9893865896905
7800000,7675000,125000,5,133,110,865,1973,51050,12 september 2023,Rosenvång,56.161494,13.6203861
6100000,6195000,-95000,5,143,12,365,2006,34092,12 september 2023,Klagshamn,55.52458265,12.9364426
4000000,4495000,-495000,6,128,128,652,1967,52370,10 september 2023,Stenkällan,55.72320585,13.17690284436
6700000,6995000,-295000,6,177,30,609,1991,36575,9 september 2023,Bunkeflostrand,55.55811095,12.9193742470748
6360000,6495000,-135000,4,117,14,412,1998,47920,9 september 2023,Limhamn,55.5835731,12.9351006
7600000,7495000,105000,7,164,96,850,1957,76500,8 september 2023,Limhamn,55.5786884,12.9517901567275
5900000,5995000,-95000,5,127,NA,462,1990,32517,8 september 2023,Bunkeflostrand,55.5560267,12.9098113
3350000,3795000,-445000,4,116,54,427,1976,37188,8 september 2023,Videdal,55.58966875,13.0600392792373
4100000,4195000,-95000,4,105,NA,NA,1895,10100,7 september 2023,Kirseberg,58.3151176,12.2728707384878
5895000,5895000,0,8,185,115,665,1977,39196,7 september 2023,Virentofta,55.5904628,13.0752389
6850000,6995000,-145000,6,158,NA,523,2000,30721,7 september 2023,Bunkeflostrand,55.5547347,12.926972
7350000,6495000,855000,6,170,21,550,2005,27900,7 september 2023,Klagshamn,55.52413475,12.9383375
5800000,5495000,305000,10,205,137,701,1970,58376,4 september 2023,Husie,55.5881071,13.0739619
5075000,5195000,-120000,5,129,98,627,1966,58887,31 augusti 2023,Virentofta,55.5855595,13.0726275504192
3085000,2995000,90000,5,138,NA,NA,NA,NA,31 augusti 2023,Lindeborg,55.5640941,12.99385795
6350000,5895000,455000,4,142,35,810,2004,36200,30 augusti 2023,Husie,55.5995896,13.0903363256988
8495000,8495000,0,8,170,100,578,1977,59195,29 augusti 2023,Bellevue,55.58234015,12.97056245
5000000,5295000,-295000,5,140,NA,366,1967,57383,29 augusti 2023,Bunkeflostrand,59.79830505,17.64994635
4295000,4495000,-200000,5,146,NA,441,1975,53025,29 augusti 2023,Ulricedal,57.6536682,11.8914189017321
9075000,8495000,580000,6,145,7,521,1977,45100,29 augusti 2023,Limhamn,56.0558284,12.8792184
4495000,4495000,0,5,113,40,430,1921,38475,27 augusti 2023,Eriksfält,55.57550355,13.009867274867
5995000,5995000,0,5,133,35,358,1909,40800,27 augusti 2023,Limhamn,55.57608605,12.9220590912422
6090000,5990000,100000,6,180,1,178,1980,33381,25 augusti 2023,Sofielund,61.7999626,16.5615513
4750000,4750000,0,4,126,NA,330,1966,48340,24 augusti 2023,Bunkeflostrand,55.5548245,12.9145772
3200000,3195000,5000,5,136,NA,521,1978,36864,23 augusti 2023,Kyrkby,55.55087985,13.1013384703001
4675000,4795000,-120000,5,170,NA,611,1971,45442,23 augusti 2023,Tygelsjö,55.51580065,12.9999916
3825000,3795000,30000,6,125,98,520,1966,31970,22 augusti 2023,Videdal,55.58689215,13.0645201
22000000,23000000,-1000000,9,260,100,2246,1958,105000,20 augusti 2023,Sjösida,55.5875,12.9365685
5750000,5695000,55000,5,136,28,958,2004,37444,18 augusti 2023,Käglinge,55.5302848,13.0933508017858
8600000,8495000,105000,7,157,12,426,1909,58246,18 augusti 2023,Limhamn,59.3405912,18.0642109
4500000,4195000,305000,3,97,60,800,1923,37500,17 augusti 2023,Valdemarsro,55.61165995,13.07271465
3950000,3695000,255000,4,84,20,890,1923,38451,17 augusti 2023,Valdemarsro,59.2727505,17.9748267
6000000,6495000,-495000,7,190,37,737,2020,NA,16 augusti 2023,Oxie,56.0734305,12.9500194
11500000,11500000,0,10,395,195,NA,1882,111000,15 augusti 2023,Husie,-23.2335499,17.3231107
4920000,4995000,-75000,5,130,NA,425,1992,47700,14 augusti 2023,Virentofta,55.59326015,13.0753393759798
4850000,4495000,355000,4,99,119,844,1962,44637,11 augusti 2023,Virentofta,55.5904628,13.0752389
6600000,6750000,-150000,6,161,9,531,2001,43321,10 augusti 2023,Klagshamn,57.7377191,11.9347286037817
6350000,6995000,-645000,4,118,102,527,1925,49655,8 augusti 2023,Håkanstorp,55.59781085,13.047434653453
3250000,3495000,-245000,5,106,NA,443,1966,36956,7 augusti 2023,Oxie,55.5431484,13.0932674
6600000,6600000,0,6,155,NA,398,2007,55100,7 augusti 2023,Tygelsjö,57.81286995,12.3579458177558
3810000,3795000,15000,6,125,9,462,1967,39944,6 augusti 2023,Videdal,55.58670885,13.0714824451713
6650000,6495000,155000,5,148,10,463,2006,29262,6 augusti 2023,Bunkeflostrand,55.553462,12.9251683084947
4540000,3250000,1290000,5,115,80,1032,1909,NA,29 juli 2023,Kulladal,55.5692143,12.9925858
9225000,8475000,750000,6,160,108,911,1956,54000,25 juli 2023,Rosenvång,55.58406275,12.9527469775144
11000000,12995000,-1995000,7,170,16,954,1974,47612,24 juli 2023,Sjösida,55.5892921,12.9489927
1850000,1995000,-145000,3,50,NA,475,1929,27380,24 juli 2023,Sallerup,55.5857902,13.1172747
8200000,8695000,-495000,6,253,90,905,1924,55900,23 juli 2023,Kulladal,55.5822371,12.9668692877796
6300000,5995000,305000,5,135,44,730,1963,41958,22 juli 2023,Riseberga,55.598719,13.076710132846
6025000,5695000,330000,NA,140,NA,460,1988,53600,20 juli 2023,Kulladal,55.5692143,12.9925858
2850000,3295000,-445000,4,100,NA,340,1969,66397,20 juli 2023,Kyrby,55.54480125,13.0993711912332
3995000,3995000,0,3,110,96,1192,1956,50820,19 juli 2023,Kristineberg,55.54394575,13.0801612336081
5500000,4995000,505000,6,150,90,1056,1945,42500,18 juli 2023,Bellevue,55.587329,12.96954135
5650000,5895000,-245000,7,156,NA,693,2005,59200,16 juli 2023,Kvarnby,55.58635915,13.1004511102978
5350000,5495000,-145000,6,110,110,525,1947,47055,14 juli 2023,Söderkulla,55.574345,13.0066687423162
4175000,4295000,-120000,4,112,31,518,1968,55748,14 juli 2023,Villastad,55.57653735,13.0696854450402
3500000,4995000,-1495000,6,159,NA,412,1974,33369,14 juli 2023,Tygelsjö,55.5136697,13.0020996
8850000,9495000,-645000,6,166,96,600,1963,57500,13 juli 2023,Limhamn,55.57391295,12.939543719936
5400000,5295000,105000,6,157,NA,510,1975,45380,12 juli 2023,Klagstorp,55.520547,13.0022728
9850000,9975000,-125000,8,187,50,351,1900,51984,9 juli 2023,Limhamn,55.578977,12.9346366151415
9700000,10900000,-1200000,6,230,126,947,1968,46100,8 juli 2023,Sjösida,55.5887793,12.9447439535592
3800000,3795000,5000,5,133,58,771,1924,30364,7 juli 2023,Kattarp,55.57869545,13.0374101
3000000,2495000,505000,3,81,NA,470,1930,19075,7 juli 2023,hemgården,55.5972446,13.1060222
4150000,4395000,-245000,4,118,118,636,1968,39850,7 juli 2023,villastad,55.5762292,13.06974395
5250000,5495000,-245000,3,138,138,813,1949,37100,6 juli 2023,Bunkeflostrand,59.2293437,18.11990625
4000000,4350000,-350000,5,131,NA,556,1984,28789,5 juli 2023,Gullvik,55.5673317,13.0369353949522
4695000,4695000,0,6,134,83,572,1974,47218,3 juli 2023,Kastanjegården,55.5551392,13.02497135
3330000,3495000,-165000,3,91,91,800,1943,52914,3 juli 2023,Kattarp,55.5788934,13.0453149218347
6495000,6495000,0,6,170,NA,797,1993,49400,1 juli 2023,Skumparp,59.3758417,16.4600053
3995000,3995000,0,3,85,70,1019,1930,30700,30 juni 2023,Husie,55.584797,13.0650530703431
4200000,4700000,-500000,5,145,26,578,1968,39741,30 juni 2023,Jägersro,55.57684385,13.0656375257463
4100000,4195000,-95000,6,134,28,626,1968,32700,29 juni 2023,villastad,55.57574875,13.0685204786444
6400000,6975000,-575000,5,104,NA,1200,1926,52500,28 juni 2023,Solbacken,55.58969615,12.97473285
7750000,7995000,-245000,7,147,30,472,1910,41200,28 juni 2023,Limhamn,59.3381676,18.0752777
4400000,4695000,-295000,5,130,91,595,1966,39173,27 juni 2023,Videdal,55.58574325,13.0720712825832
5350000,5195000,155000,4,109,24,620,1963,57467,27 juni 2023,Djupadal,55.5744766,12.9500551492987
5000000,5295000,-295000,5,101,1,385,1966,46132,27 juni 2023,Bunkeflostrand,59.7971436,17.6461721512677
3790000,3690000,100000,5,102,87,754,1931,45683,27 juni 2023,Käglinge,55.53491105,13.07557595
6650000,6495000,155000,6,148,NA,397,2005,31350,26 juni 2023,Bunkeflostrand,55.5519918,12.9235949948912
3800000,4295000,-495000,4,117,55,636,1975,44702,26 juni 2023,Kastanjegården,55.55408975,13.0228019233919
10800000,10995000,-195000,7,220,130,1215,1965,75200,26 juni 2023,Limhamn,55.58888545,12.9444818616346
4000000,4295000,-295000,5,96,50,821,1924,8389,25 juni 2023,Kulladal,55.5695888,12.9976897
5250000,5395000,-145000,8,172,72,925,1944,67907,22 juni 2023,Gullvik,55.57294895,13.02946985
4555000,4195000,360000,5,108,67,855,1936,52230,21 juni 2023,Käglinge,55.5318049,13.0766004653784
4025000,3895000,130000,5,102,74,789,1957,51600,21 juni 2023,Virentofta,55.5904628,13.0752389
3850000,3895000,-45000,4,120,34,851,1984,40981,21 juni 2023,Käglinge,55.5286627,13.075031851369
4700000,4850000,-150000,4,100,25,492,2008,18700,21 juni 2023,Bunkeflostrand,57.7262273,12.04539945
7050000,6295000,755000,7,182,44,843,1916,58400,21 juni 2023,Klagshamn,55.5231303,12.9316767608209
8500000,8990000,-490000,7,240,208,848,1961,46648,21 juni 2023,Bellevue,55.58019445,12.9689083130911
3975000,3850000,125000,6,94,94,894,1961,35395,20 juni 2023,Gullvik,55.56945275,13.0349353
6600000,6495000,105000,7,150,5,874,1870,52990,20 juni 2023,Kulladal,55.5692143,12.9925858
9400000,9475000,-75000,6,290,NA,1218,1980,81508,20 juni 2023,Bunkeflostrand,55.56178265,12.9086965035826
4440000,4495000,-55000,5,149,NA,619,1976,54100,20 juni 2023,Ulricedal,55.5932564,13.0552882502044
3500000,3795000,-295000,3,120,70,685,1936,NA,19 juni 2023,Kattarp,55.5791128,13.0391905596084
2800000,2900000,-100000,3,72,42,411,1923,26100,19 juni 2023,Virentofta,55.5904602,13.0773439
8250000,8395000,-145000,6,148,66,765,1962,64846,18 juni 2023,Bellevue,55.58088195,12.9679672553322
10800000,11295000,-495000,6,190,89,969,1924,56700,17 juni 2023,Mellanheden,55.58457205,12.9580720115262
2300000,2495000,-195000,2,43,NA,517,1945,11000,16 juni 2023,Strandhem,59.6366936,17.8329456
5400000,5650000,-250000,6,188,NA,450,1976,27600,15 juni 2023,Bunkeflostrand,55.5494682,12.914183
6850000,6750000,100000,5,133,NA,552,2007,43771,15 juni 2023,Bunkeflostrand,55.5510224,12.9297046
5550000,5495000,55000,4,124,20,363,1966,35040,15 juni 2023,Bunkeflostrand,55.5548085,12.9161753
5625000,4795000,830000,5,102,48,617,1926,40935,14 juni 2023,Virentofta,55.5904628,13.0752389
4050000,3595000,455000,5,119,NA,199,1986,18792,14 juni 2023,Segevång,55.61476445,13.05995845
2800000,2995000,-195000,5,130,NA,405,1966,55955,13 juni 2023,Oxie,55.54482235,13.0964328421013
5200000,5495000,-295000,6,176,11,765,1978,35619,13 juni 2023,Kulladal,56.0488647,12.7352366858033
4300000,4575000,-275000,4,100,85,1048,1962,13915,13 juni 2023,Tygelsjö,57.7105187,11.9188544
3700000,3795000,-95000,4,86,78,462,1922,34900,11 juni 2023,Kvarnby,55.58780515,13.0896109040833
5900000,5495000,405000,4,126,11,665,1800,52600,9 juni 2023,Tygelsjö,55.5169132,13.0044825
6300000,5495000,805000,8,199,110,651,1973,51475,9 juni 2023,Djupadal,58.3890506,15.5568140262658
6445000,5495000,950000,6,145,NA,658,1992,25172,9 juni 2023,Kvarnby,55.5877567,13.1061210443503
3300000,3695000,-395000,3,70,65,583,1946,40000,8 juni 2023,Eriksfält,55.57309485,13.0071885557973
4300000,4475000,-175000,3,111,10,370,2004,41700,7 juni 2023,Bunkeflostrand,55.5531485,12.9274834
4350000,4195000,155000,4,120,NA,763,1956,26511,7 juni 2023,Kulladal,57.7930115,13.1299026
3670000,3995000,-325000,4,102,52,704,1926,32200,7 juni 2023,Ellenborg,55.58561535,13.0681141
6510000,6975000,-465000,4,131,NA,764,1996,43855,7 juni 2023,Bunkeflostrand,55.5576877,12.9273639
5300000,4995000,305000,5,147,3,454,1963,5500,4 juni 2023,Hyllie,55.5766739,12.9698489942174
4650000,4995000,-345000,5,163,NA,672,1974,40000,3 juni 2023,Kastanjegården,55.5568162,13.0219279022633
8625000,9495000,-870000,7,254,92,738,1927,NA,2 juni 2023,Sjösida,55.59108225,12.9589186993874
3995000,3995000,0,4,100,69,600,1936,36270,2 juni 2023,Rosengård,55.58038985,13.03992615
3640000,3695000,-55000,3,107,60,408,1925,59800,1 juni 2023,Kattarp,55.51421935,13.23448305
11500000,10995000,505000,5,170,NA,1115,1975,51550,31 maj 2023,Sjösida,55.5882133,12.9488009858367
4750000,4900000,-150000,4,120,NA,655,1900,42000,31 maj 2023,Skumparp,57.7050236,11.8990931316177
2995000,2995000,0,4,115,115,620,1968,45600,31 maj 2023,Kyrkby,55.54285925,13.0995965326243
11600000,11500000,100000,8,238,9,906,1920,63000,31 maj 2023,Bellevue,55.587064,12.9560576239027
5800000,6200000,-400000,4,105,68,721,1926,47912,28 maj 2023,Rostorp,55.61491995,13.0471447940199
5300000,5195000,105000,5,120,120,796,1962,18700,27 maj 2023,Bunkeflostrand,55.55608185,12.9226214
